Days,Level,Seed_Method,Model,NSE (↑),R2 (↑),Sim (↑),RMSE (↓),MAE (↓),NMAE (↓)
3D,MED,SPLINE,RF,0.8293910383550289,0.8293910383549031,0.9649619518996388,1.2021506886140052,0.8443845204256829,0.0377048021841518
3D,MED,SPLINE,Ridge,0.8085254114869772,0.8085254114868385,0.9619413387354616,1.2823083938528714,0.9242720852579388,0.0410593495726777
3D,MED,SPLINE,SVR,0.8216763915881643,0.8216763915880323,0.9645444293762554,1.232635851816834,0.8573632625392147,0.0382448021130047
3D,MED,SPLINE,XGB,0.8271128058139902,0.8271128058138629,0.9645165361486764,1.2131314536576134,0.8525841361568087,0.038197473439425
3D,HIGH,LINEAR,Ada,0.8504968117840016,0.8504968117839534,0.9637865661071828,1.508777845897821,1.1872681380177856,0.0387102593765428
3D,HIGH,LINEAR,DT,0.8734590291941351,0.8734590291940953,0.9672917696969616,1.482067125342539,1.0705166984717052,0.0349791516720066
3D,HIGH,LINEAR,GB,0.9344828397569986,0.9344828397569784,0.9751168687745516,1.0754157224319494,0.7987727524440674,0.0261503553716091
3D,HIGH,LINEAR,KNN,0.9243685128904718,0.924368512890449,0.972871646559162,1.1747917535744472,0.8763000116984049,0.028570662335122
3D,HIGH,LINEAR,LGBM,0.9389256447394176,0.9389256447393988,0.9760987288354404,1.0400238868268703,0.7661291038986223,0.0250789143198777
3D,HIGH,LINEAR,LN,0.9330158743017024,0.9330158743016812,0.9751249214123926,1.0805777206061695,0.7964423282782238,0.0261601239875598
3D,HIGH,LINEAR,Lasso,0.9302510991451886,0.9302510991451668,0.9745858575231136,1.1012724229914763,0.8138358698527018,0.0267536495824332
3D,HIGH,LINEAR,RF,0.9396459452554146,0.9396459452553958,0.9763252832955532,1.0342313852466,0.7575986674620708,0.0248302629880364
3D,HIGH,LINEAR,Ridge,0.933015745156134,0.933015745156113,0.9751248783109812,1.0805785566166244,0.7964436624288558,0.0261601697650024
3D,HIGH,LINEAR,SVR,0.9410212847245734,0.9410212847245554,0.976539042624131,1.027164617989942,0.7522616896626656,0.0245947723289405
3D,HIGH,LINEAR,XGB,0.9369442688647388,0.9369442688647192,0.9758699725833436,1.0553619463585044,0.7740100766976674,0.0253353183451473
3D,HIGH,MEAN,Ada,0.8500414260709241,0.850041426070876,0.9635844715167732,1.5146625803585616,1.192684034784814,0.0389298493742863
3D,HIGH,MEAN,DT,0.881041174587408,0.8810411745873716,0.9675652514207792,1.46087506833106,1.063333373816808,0.034648834225576
3D,HIGH,MEAN,GB,0.9338658021485466,0.9338658021485264,0.974988515152028,1.0836992658722102,0.8043303235719991,0.0262918842570642
3D,HIGH,MEAN,KNN,0.9235519315505658,0.9235519315505428,0.9726896111396168,1.185639664779179,0.8838500044345855,0.0287730444711671
3D,HIGH,MEAN,LGBM,0.9383656157813112,0.938365615781292,0.9760491327781744,1.0430899206683468,0.7680081377496522,0.0251388990147213
3D,HIGH,MEAN,LN,0.9319071901218084,0.9319071901217874,0.9748748892087516,1.0919798652772212,0.8058921150366466,0.0264345946993498
3D,HIGH,MEAN,Lasso,0.9291196260257132,0.9291196260256912,0.9743356940252612,1.112165234485175,0.8232426127910613,0.0270287849451393
3D,HIGH,MEAN,RF,0.9390720913472904,0.9390720913472714,0.9763543950536102,1.0347001595473564,0.7561076670662562,0.0248126477243071
3D,HIGH,MEAN,Ridge,0.931907083352156,0.9319070833521348,0.9748748493503488,1.0919806585487155,0.805893362959226,0.0264346367195707
3D,HIGH,MEAN,SVR,0.939910296034868,0.9399102960348498,0.9762596558303376,1.0397734737830002,0.762897587153048,0.0249012489374164
3D,HIGH,MEAN,XGB,0.9357568964229644,0.9357568964229444,0.9754612920844804,1.0681468656945723,0.7870115348498027,0.025775026719893
3D,HIGH,SPLINE,Ada,0.8676195420443064,0.8676195420442651,0.9648068691034264,1.4751388218746524,1.1536249638739635,0.0374969528717731
3D,HIGH,SPLINE,DT,0.8825900509610838,0.8825900509610478,0.9679534082894118,1.4389697162996986,1.0462333598454794,0.0342173914407591
3D,HIGH,SPLINE,GB,0.9340896444538972,0.934089644453877,0.9749673481889854,1.08057844468591,0.8045839124849412,0.0263073968418388
3D,HIGH,SPLINE,KNN,0.9213169737619484,0.9213169737619248,0.9722072585924916,1.2044632143642822,0.9010633574167888,0.029297890350903
3D,HIGH,SPLINE,LGBM,0.937730892082275,0.9377308920822556,0.9758665311613774,1.049030159228677,0.7742602229621152,0.0253321869182963
